# total IPOs: 1795, CABI (cabimain): 915, errored: 3
# CALL sys observed: 334505, distinct slots: 71

slot | dominant sig (count, %)              | callers (sample)
-----+---------------------------------------+-----------------
0x00 | in=2 ref=0      ( 3896/ 3896 = 100%) | TesterPresentHandling,StopTesterPresentHandling,MKB_CProg
0x01 | in=1 ref=1      ( 3215/ 3215 = 100%) | TesterPresentHandling,PruefeSignatur,LoescheFlash
0x02 | in=0 ref=0      ( 4172/ 4172 = 100%) | TestCDHFehler,SetCDHFehler,TestApiFehler
0x04 | in=1 ref=1      ( 7158/ 7165 = 100%)  others: in=2 ref=0@7 | OutputDebugInt,GetDiagProt,SetEcuAdr
0x05 | in=1 ref=4      (   66/   66 = 100%) | GetFsStatus,GetAllSwId,GetCertificate
0x06 | in=2 ref=1      ( 7823/ 7823 = 100%) | AbgleichwerteLesen,AbgleichwerteSchreiben,AbgleichwerteLesenAuto
0x07 | in=1 ref=1      ( 3336/ 3336 = 100%) | Programmieren,GetFsStatus,GetAllSwId
0x08 | in=3 ref=1      ( 1002/ 1002 = 100%) | Programmieren,AuthenticateSession,GetFsStatus
0x0b | in=0 ref=0      (11373/11373 = 100%) | GetDiagProt,SetDiagProt,SetEcuAdr
0x0c | in=0 ref=0      (  907/  907 = 100%) | cabiexit
0x0d | in=4 ref=0      (35491/35491 = 100%) | TesterPresentHandling,GetDiagProt,SetDiagProt
0x0e | in=5 ref=0      ( 5086/ 5086 = 100%) | FlashSchreiben,FlashSchreibenEnde,FlashSchreibenAdresse
0x0f | in=3 ref=1      (38149/38156 = 100%)  others: in=4 ref=0@7 | TestApiFehler,GetDiagProt,Ident
0x10 | in=2 ref=1      (17965/18478 =  97%)  others: in=3 ref=0@513 | GetDiagProt,Ident,AifLesen
0x11 | in=0 ref=1      (   16/   16 = 100%) | GetFsStatus,GetAllSwId
0x14 | in=3 ref=1      ( 1524/ 1524 = 100%) | Programmieren,AuthenticateSession,GetCertificate
0x18 | in=4 ref=0      (  552/  552 = 100%) | Programmieren
0x1a | in=3 ref=2      ( 3607/ 3607 = 100%) | TestApiFehlerNoExit,DatenReferenzLesen,TestApiFehler
0x1b | in=2 ref=2      (   30/   30 = 100%) | GetSetResponseCode,Programmieren
0x1e | in=0 ref=1      (  374/  374 = 100%) | TestApiFehler,RepeatedApiJobOnError,TestDleFehler
0x1f | in=0 ref=1      ( 1057/ 1057 = 100%) | TestApiFehlerNoExit,TestApiFehler,Programmieren
0x21 | in=2 ref=0      (  107/  107 = 100%) | cabimain,Programmieren,MKB_CProg
0x22 | in=0 ref=0      (  113/  113 = 100%) | cabiexit,Programmieren,MKB_CProg
0x23 | in=1 ref=0      (  110/  110 = 100%) | OutputDebugData,Programmieren,MKB_CProg
0x2b | in=1 ref=0      (19613/19613 = 100%) | TestCDHFehler,SetCDHFehler,TestApiFehler
0x2c | in=2 ref=1      (   91/   91 = 100%) | Cod,Lesen,PolsterLack
0x2d | in=1 ref=2      (  301/  301 = 100%) | Fgnr,AeIndex,Cod
0x2e | in=2 ref=1      (55189/55196 = 100%)  others: in=3 ref=0@7 | Jobs,UProgLesen,GetDiagProt
0x2f | in=1 ref=2      (10963/10977 = 100%)  others: in=2 ref=1@14 | SetDiagProt,SetEcuAdr,AifLesen
0x31 | in=0 ref=2      (    6/    6 = 100%) | GetSg,Cod,searchFAM
0x32 | in=1 ref=1      (    6/    6 = 100%) | Cod,Cod2
0x33 | in=0 ref=2      (12448/12448 = 100%) | GetDiagProt,SetDiagProt,SetEcuAdr
0x35 | in=1 ref=1      (   22/   22 = 100%) | Cod,FgnrSchreiben
0x36 | in=1 ref=1      (   62/   62 = 100%) | Cod
