# table starts at file offset 0xbe70a (780042)
0x00  settimer
0x01  testtimer
0x02  exit
0x03  realtostring
0x04  inttostring
0x05  hexconvert
0x06  strcat
0x07  strlen
0x08  midstr
0x09  simnum
0x0a  simdigital
0x0b  CDHapiInit
0x0c  CDHapiEnd
0x0d  CDHapiJob
0x0e  CDHapiJobData
0x0f  CDHapiResultText
0x10  CDHapiResultInt
0x11  CDHapiResultSets
0x12  CDHapiResultDigital
0x13  CDHapiResultAnalog
0x14  CDHapiResultBinary
0x15  CDHapiCheckJobStatus
0x16  apiInit
0x17  apiEnd
0x18  apiJob
0x19  apiState
0x1a  apiResultText
0x1b  apiResultInt
0x1c  apiResultSets
0x1d  apiResultReal
0x1e  apiErrorCode
0x1f  apiErrorText
0x20  GetBinaryDataString
0x21  fileopen
0x22  fileclose
0x23  filewrite
0x24  StrArrayCreate
0x25  StrArrayDestroy
0x26  StrArrayWrite
0x27  StrArrayRead
0x28  StrArrayGetElementCount
0x29  StrArrayDelete
0x2a  CDHGetFswPswFromZcs
0x2b  CDHSetReturnVal
0x2c  CDHSetSystemData
0x2d  CDHGetSystemData
0x2e  CDHSetCabdPar
0x2f  CDHGetCabdPar
0x30  CDHGetFswPswFromCvt
0x31  CDHReadSget
0x32  CDHSetSgName
0x33  CDHGetSgbdName
0x34  CDHGetBaureiheFromZcs
0x35  CDHActivateFsw
0x36  CDHInactivateFsw
0x37  CDHActivateGrp
0x38  CDHInactivateGrp
0x39  CDHActivateAllFsw
0x3a  CDHInactivateAllFsw
0x3b  CDHChangePsw
0x3c  CDHSaveFswPswList
0x3d  CDHRestoreFswPswList
0x3e  CDHSetCbdName
0x3f  CDHGetInfo
0x40  CDHCheckIdent
0x41  CDHGetFswDataFromCbd
0x42  CDHGetFswPswDataFromCbd
0x43  CDHGetGrpDataFromCbd
0x44  CDHGetNettoDataFromCbd
0x45  CDHGetNettoMaskFromCbd
0x46  CDHGetFswPswFromNettoData
0x47  CDHResetApiJobData
0x48  CDHGetApiJobData
0x49  CDHCheckDataUsed
0x4a  CDHBinBufToNettoData
0x4b  CDHBinBufCreate
0x4c  CDHBinBufDelete
0x4d  CDHBinBufWriteByte
0x4e  CDHBinBufWriteWord
0x4f  CDHBinBufReadByte
0x50  CDHBinBufReadWord
0x51  CDHBinBufToStr
0x52  CDHResetError
0x53  CDHSetError
0x54  CDHTestError
0x55  CDHGetApiJobByteData
0x56  CDHSetCabdWordPar
0x57  CDHGetCabdWordPar
0x58  CDHGetReferenzProgramm
0x59  CDHGetReferenzDaten
0x5a  CDHDelay
0x5b  CDHSetDataOrg
0x5c  CDHIdReady
0x5d  CDHCallAuthenticate
0x5e  CDHGetFaVersion
0x5f  CDHGetAnzahlFaElemente
0x60  CDHGetFaElement
0x61  CDHCheckIdent2
0x62  CDHAuthGetRandom
# total 99 entries
